"","k","n","f","alpha","power"
"667",3,47.3567727178711,0.35,0.03,0.45
"567",3,63.124966293733,0.3,0.03,0.45
"467",3,89.2973729786383,0.25,0.03,0.45
"367",3,137.502353198908,0.2,0.03,0.45
"267",3,241.676447591256,0.15,0.03,0.45
"167",3,539.350870392178,0.1,0.03,0.45
"768",3,41.0409089611359,0.4,0.03,0.5
"668",3,52.4621908485538,0.35,0.03,0.5
"568",3,70.0779487348846,0.3,0.03,0.5
"468",3,99.3133602781131,0.25,0.03,0.5
"368",3,153.15570030122,0.2,0.03,0.5
"268",3,269.507586224569,0.15,0.03,0.5
"168",3,601.973507195302,0.1,0.03,0.5
"769",3,45.1493070023694,0.4,0.03,0.55
"669",3,57.8319639322313,0.35,0.03,0.55
"569",3,77.3903401446389,0.3,0.03,0.55
"469",3,109.846496532611,0.25,0.03,0.55
"369",3,169.6167221036,0.2,0.03,0.55
"269",3,298.774215958746,0.15,0.03,0.55
"169",3,667.825658046583,0.1,0.03,0.55
"770",3,49.5311215449582,0.4,0.03,0.6
"670",3,63.5585348354515,0.35,0.03,0.6
"570",3,85.1880813606484,0.3,0.03,0.6
"470",3,121.078233491511,0.25,0.03,0.6
"370",3,187.168987675361,0.2,0.03,0.6
"270",3,329.980639331526,0.15,0.03,0.6
"170",3,738.042095021342,0.1,0.03,0.6
"771",3,54.2791678420314,0.4,0.03,0.65
"671",3,69.763249175743,0.35,0.03,0.65
"571",3,93.6364506163244,0.3,0.03,0.65
"471",3,133.246623945048,0.25,0.03,0.65
"371",3,206.184598452119,0.2,0.03,0.65
"271",3,363.788311670451,0.15,0.03,0.65
"171",3,814.111245166216,0.1,0.03,0.65
"772",3,59.5235437591383,0.4,0.03,0.7
"672",3,76.6161317198943,0.35,0.03,0.7
"572",3,102.96680682333,0.3,0.03,0.7
"472",3,146.685004675601,0.25,0.03,0.7
"372",3,227.184390149301,0.2,0.03,0.7
"272",3,401.123295546263,0.15,0.03,0.7
"172",3,898.116695267678,0.1,0.03,0.7
"773",3,65.4596813156192,0.4,0.03,0.75
"673",3,84.3724565630056,0.35,0.03,0.75
"573",3,113.526803594211,0.3,0.03,0.75
"473",3,161.893944131125,0.25,0.03,0.75
"373",3,250.950597313023,0.2,0.03,0.75
"273",3,443.376266275828,0.15,0.03,0.75
"173",3,993.18754636265,0.1,0.03,0.75
"774",3,72.4072727867663,0.4,0.03,0.8
"674",3,93.4498585234029,0.35,0.03,0.8
"574",3,125.884947254046,0.3,0.03,0.8
"474",3,179.692177781714,0.25,0.03,0.8
"374",3,278.762571026842,0.2,0.03,0.8
"274",3,492.821694358651,0.15,0.03,0.8
"174",3,1104.44137646401,0.1,0.03,0.8
"775",3,9.716233294025,0.4,0.035,0.1
"675",3,11.5242968693563,0.35,0.035,0.1
"575",3,14.3276615334594,0.3,0.035,0.1
"475",3,19.0060008230791,0.25,0.035,0.1
"375",3,27.6631176518111,0.2,0.035,0.1
"275",3,46.4322612634253,0.15,0.035,0.1
"175",3,100.155848100504,0.1,0.035,0.1
"776",3,13.6560436136478,0.4,0.035,0.15
"676",3,16.6821181814554,0.35,0.035,0.15
"576",3,21.3693820082108,0.3,0.035,0.15
"476",3,29.17588421234,0.25,0.035,0.15
"376",3,43.5893613943757,0.2,0.035,0.15
"276",3,74.7841918581401,0.15,0.035,0.15
"176",3,163.985963519599,0.1,0.035,0.15
"777",3,17.3438937822263,0.4,0.035,0.2
"677",3,21.5121168740186,0.35,0.035,0.2
"577",3,27.9598912415552,0.3,0.035,0.2
"477",3,38.6847315333571,0.25,0.035,0.2
"377",3,58.4663175215589,0.2,0.035,0.2
"277",3,101.251039160155,0.15,0.035,0.2
"177",3,223.553918698429,0.1,0.035,0.2
"778",3,20.9031852140655,0.4,0.035,0.25
"678",3,26.1717214574135,0.35,0.035,0.25
"578",3,34.3141530908682,0.3,0.035,0.25
"478",3,47.8474285118986,0.25,0.035,0.25
"378",3,72.7954396932041,0.2,0.035,0.25
"278",3,126.736669916067,0.15,0.035,0.25
"178",3,280.907083406237,0.1,0.035,0.25
"779",3,24.4100866403388,0.4,0.035,0.3
"679",3,30.7609056869211,0.35,0.035,0.3
"579",3,40.5697275785876,0.3,0.035,0.3
"479",3,56.8646748084066,0.25,0.035,0.3
"379",3,86.8937194176332,0.2,0.035,0.3
"279",3,151.808366601036,0.15,0.035,0.3
"179",3,337.325549859196,0.1,0.035,0.3
"780",3,27.92125392828,0.4,0.035,0.35
"680",3,35.3541248677022,0.35,0.035,0.35
"580",3,46.8289425128643,0.3,0.035,0.35
"480",3,65.8851384872918,0.25,0.035,0.35
"380",3,100.994909945799,0.2,0.035,0.35
"280",3,176.883170737497,0.15,0.035,0.35
"180",3,393.74922006871,0.1,0.035,0.35
"781",3,31.4848133651554,0.4,0.035,0.4
